[2026-03-03 21:58:12] [WARNING ] discord.ext.commands.bot: Privileged message content intent is missing, commands may not work as expected.
[2026-03-03 21:58:12] [INFO    ] discord.client: logging in using static token
[2026-03-03 21:58:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-03-03 21:58:12] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-03-03 21:58:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1478355068062531737', 'username': 'Mambo', 'avatar': '7318d34aaa6f0932a6472bc92fe6e409', 'discriminator': '8836', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-03-03 21:58:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-03-03 21:58:13] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-03-03 21:58:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1478355068062531737', 'name': 'Test', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1478355068062531737', 'username': 'Mambo', 'avatar': '7318d34aaa6f0932a6472bc92fe6e409', 'discriminator': '8836', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'e57f765c421b7024ded624c4810534fc81295fa84f2567044c2759e08766dd95', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '282747364131995650', 'username': 'aname373', 'avatar': '542092dad4c9275241e0e2578bebc954', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 5818284, 'global_name': 'Aname', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#58c7ac', 'clan': {'identity_guild_id': '283467363729408000', 'identity_enabled': True, 'tag': 'HK', 'badge': 'b6f6582eb0301ce069e00b2a99323975'}, 'primary_guild': {'identity_guild_id': '283467363729408000', 'identity_enabled': True, 'tag': 'HK', 'badge': 'b6f6582eb0301ce069e00b2a99323975'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-03-03 21:58:13] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-03-03 21:58:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-sv3h",{"micros":0.0}]']}}
[2026-03-03 21:58:13] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-03-03 21:58:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
